a2ps	4.14	Any-to-PostScriptフィルター
libodbc++	0.2.5	SQLデータベースアクセス用のC++開発環境
libodfgen	0.1.4	librevengeを使用するプロジェクト用のODFエクスポートライブラリ
libofx	0.9.9	OFXコマンド応答をサポートするライブラリ
libogg	1.3.2	Oggビットストリームライブラリ
liboil	0.3.17	さまざまなCPU用に最適化された単純な関数のCライブラリ
libopendkim	2.10.3	ドメインキーIDメール認証の実装
libopennet	0.9.9	open_net（）、open（）に似ています
liboping	1.8.0	ICMPエコー要求を生成するためのCライブラリ
libopkele	2.0.4	OpenID分散型IDシステムのC++実装
libosip	2-4.1.0	eXosip2スタックの実装
libotr	4.1.0	オフレコ（OTR）メッセージングライブラリ
libowfat	0.29	libdjbを再実装します
libp11	0.2.8	CのPKCS＃11ラッパーライブラリ
libpagemaker	0.0.2	Aldus/Adob​​ePageMakerドキュメントのファイル形式をインポートします
libpano	13-2.9.19	重なり合う画像のセットからパノラマ画像を作成する
libpcap	1.8.1	ネットワークトラフィックキャプチャ用のポータブルライブラリ
libpcl	1.12	コルーチン用のCライブラリとAPI
libpeas	1.14.0	GObjectプラグインライブラリ
libpgm	5.2.122	PGM高信頼マルチキャストプロトコルを実装します
libplist	1.12	AppleのバイナリおよびXMLプロパティリスト用のライブラリ
libpng	1.6.24	PNG画像を操作するためのライブラリ
libpointing	0.92	HIDポインティングデバイスへの直接アクセスを提供します
libpoker-eval	138.0	ポーカーハンドを評価するためのCライブラリ
libpqxx	4.0.1	PostgreSQL用のC++コネクタ
libprotoident	2.0.7	Libprotoidentは、アプリケーション層のプロトコル識別を実行します
libpst	0.6.65	PSTファイル形式のユーティリティ
libpuzzle	0.11	視覚的に類似した画像を見つけるためのライブラリ
libqalculate	0.9.7	Qalculateのライブラリ！プログラム
libqglviewer	2.6.1	OpenGL3Dビューアを作成するためのC++ Qtライブラリ
libquantum	1.0.0	量子力学のシミュレーションのためのCライブラリ
libquicktime	1.2.4	QuickTimeファイルを読み書きするためのライブラリ
libquvi	0.4.1	フラッシュメディアストリームのプロパティを解析するためのCライブラリ
librasterlite	1.1g	巨大なラスターカバレッジを保存および取得するためのライブラリ
libraw	0.16.0	デジタルフォトカメラからRAWファイルを読み取るためのライブラリ
librcsc	4.1.0	ロボカップサッカーシミュレーターライブラリ
librdkafka	0.8.6	Apache Kafka C/C++ライブラリ
libre	0.4.12	プロトコルスタックを使用した非同期ネットワークI/O用のツールキットライブラリ
libreadline-java	0.8.0	Java用のGNUreadlineのポート
librem	0.4.6	リアルタイムのオーディオおよびビデオ処理用のツールキットライブラリ
libreplaygain	r475	オーディオのReplayGain標準を実装するライブラリ
libresample	0.1.3	オーディオリサンプリングCライブラリ
libressl	2.2.3	OpenSSLからフォークされたSSL/TLSプロトコルのバージョン
librevenge	0.0.2	ドキュメントインポートフィルターを作成するためのベースライブラリ
librsvg	2.40.10	Cairoを使用してSVGファイルをレンダリングするライブラリ
librsync	0.9.7	rsyncリモートデルタアルゴリズムを実装するライブラリ
librtlsdr	v0.5.3	安価なSDRとしてRealtekDVT-Tドングルを使用する
libsamplerate	0.1.8	オーディオデータのサンプルレート変換用のライブラリ
libsass	3.2.5	SassコンパイラのC実装
libscrypt	v1.20	scrypt用のライブラリ
libsecret	0.18.3	パスワードやその他の秘密を保存/取得するためのライブラリ
libshout	2.3.1	Icecastサーバーのデータおよび接続ライブラリ
libsigc++	2.4.1	C++のコールバックフレームワーク
libsigsegv	2.10	ユーザーモードでページフォールトを処理するためのライブラリ
libslax	0.19.0	SLAX言語の実装（XSLTの代替）
libsmf	1.3	SMF（ '* .mid'）ファイルを処理するためのCライブラリ
libsmi	0.4.8	SMIMIB情報にアクセスするためのライブラリ
libsndfile	1.0.25	サンプリングされたサウンドを含むファイル用のCライブラリ
libsodium	1.0.3	NaClネットワーキングおよび暗号化ライブラリ
libsoup	2.52.0	GNOME用のHTTPクライアント/サーバーライブラリ
libsoxr	0.1.1	高品質の1次元サンプルレート変換ライブラリ
libspatialite	4.3.0a	SQLiteに空間SQL機能を追加します
libspectre	0.2.7	Postscriptドキュメントをレンダリングするための小さなライブラリ
libspiro	20071029	曲線の描画を簡素化するライブラリ
libspnav	0.2.3	3Dconnexionの3D入力デバイスに接続するためのクライアントライブラリ
libssh	0.7.1	CライブラリSSHv1/SSHv2クライアントおよびサーバープロトコル
libssh2	1.8.0	SSH2プロトコルを実装するCライブラリ
libstfl	0.22	端末用のcursesベースのウィジェットセットを実装するライブラリ
libstrophe	0.8.6	C用のXMPPライブラリ
libstxxl	1.4.1	特大データセット用のSTLのC++実装
libsvg	0.1.4	SVGファイル用のライブラリ
libsvg-cairo	0.1.6	Cairoを使用したSVGレンダリングライブラリ
libsvm	3.20	サポートベクターマシン用のライブラリ
libswiften	2.0	XMPPアプリケーションを実装するためのC++ライブラリ
libtar	v1.2.20	POSIXtarファイルを操作するためのCライブラリ
libtasn1	4.7	ASN.1構造パーサーライブラリ
libtecla	1.6.3	tcshシェルと同様のコマンドライン編集機能
libtermkey	0.17	端末からのキーボード入力を処理するためのライブラリ
libtess2	1.0	GLUテッセレーターのリファクタリングバージョン
libtextcat	2.2	Nグラムベースのテキスト分類ライブラリ
libtiff	4.0.6	TIFFライブラリとユーティリティ
libtins	v3.1	C++ネットワークパケットスニッフィングおよびクラフティングライブラリ
libtomcrypt	1.17	モジュール式でポータブルな暗号化ツールキット
libtommath	0.42.0	数論的多倍長整数用のCライブラリ
libtool	2.4.6	ジェネリックライブラリサポートスクリプト
libtorrent	0.13.6	BitTorrentライブラリ
libtorrent-rasterbar	1.0.6	RasterbarSoftwareによるC++ビットトレントライブラリ
libtrace	3.0.22	複数の入力をサポートするトレース処理用のライブラリ
libunistring	0.9.6	Unicode文字列を操作するためのC文字列ライブラリ
libunwind-headers	35.1	プログラムのコールチェーンを決定するためのCAPI
libupnp	1.6.19	ポータブルUPnP開発キット
libusb	1.0.20	USBデバイスアクセス用のライブラリ
libusb-compat	0.1.5	USBデバイスアクセス用のライブラリ
libusrsctp	0.9.1	ユーザーランドSCTPスタック
libutf	20110530	Port of Plan9のUTF-8およびUnicodeのサポートライブラリ
libutil	11	FreeBSDユーティリティライブラリ
libuv	v1.7.4	非同期I/Oに焦点を当てたマルチプラットフォームサポートライブラリ
libuvc	v0.0.5	USBビデオデバイス用のクロスプラットフォームライブラリ
libvbucket	1.8.0.4	仮想バケットへのマッピングを提供するユーティリティライブラリ
libvidstab	0.98b	トランスコードビデオ安定化プラグイン
libvirt	1.2.19	C仮想化API
libvisio	0.1.1	Visio図の解釈とインポート
libvo-aacenc	0.1.3	VisualOnAACエンコーダライブラリ
libvoikko	3.8	フィンランド語の言語ソフトウェア
libvorbis	1.3.5	Vorbis一般オーディオ圧縮コーデック
libvpx	v1.4.0	VP8ビデオコーデック
libwandevent	3.0.1	Libwandeventは、イベント駆動型プログラムを開発するためのAPIを提供します
libwbxml	0.11.2	WBXMLドキュメントを解析およびエンコードするためのライブラリとツール
libwebm	1.0.0.26	WebMコンテナ
libwebsockets	v3.1.0	Cwebsocketsサーバーライブラリ
libwmf	0.2.8.4	WMF（ウィンドウメタファイル形式）ファイルを変換するためのライブラリ
libwpd	0.10.0	WordPerfectファイルを読み取るための汎用ライブラリ
libwpg	0.3.0	Word PerfectGraphics形式を読み取って解析するためのライブラリ
libwps	0.3.0	MSWorks形式でファイルをインポートするためのライブラリ
libxc	2.2.2	コードの交換および相関汎関数のライブラリ
libxdg-basedir	1.2.0	XDGベースディレクトリ仕様のC実装
libxdiff	0.23	バイナリファイルとテキストファイルの差分関数を実装します
libxmi	1.2	2Dベクトルグラフィックスをラスター化するためのC/C++関数ライブラリ
libxml++	2.40.0	libxmlのC++ラッパー
libxml2	2.9.2	GNOMEXMLライブラリ
libxmlsec1	1.2.20	XMLセキュリティライブラリ
libxmp	4.3.9	モジュール音楽（MOD、S3M、ITなど）を再生するためのCライブラリ
libxmp-lite	4.3.5	Lite libxmp
libxslt	1.1.28	GNOME用のCXSLTライブラリ
libxspf	1.2.0	XSPFプレイリストの読み取りと書き込み用のC++ライブラリ
libyaml	0.1.6	YAMLパーサー
libyubikey	1.13	Yubicoワンタイムパスワードを操作するためのCライブラリ
libzdb	3.1	データベース接続プールライブラリ
libzip	0.11.2	zipアーカイブを読み取り、作成、および変更するためのCライブラリ
libzzip	0.13.62	ZIPアーカイブの読み取りアクセスを提供するライブラリ
lifelines	3.0.62	テキストベースの系図ソフトウェア
lightning	2.1.0	実行時にアセンブリ言語コードを生成します
lighttpd	1.4.37	小さなメモリフットプリント、柔軟なWebサーバー
lilv	0.20.0	LV2プラグインを使用するCライブラリ
link-grammar	4.7.14	カーネギーメロン大学のリンク文法パーサー
linklint	2.3.5	リンクチェッカーとWebサイトのメンテナンスツール
links	2.11	テーブルやメニューなどをサポートするLynxのようなWWWブラウザ。
liquibase	3.4.1	データベース変更追跡用のライブラリ
liquidprompt	v1.9	bashおよびzshシェルの適応プロンプト
litmus	0.13	WebDAVサーバープロトコルコンプライアンステストスイート
little-cms	1.19	LittleCMSライブラリのバージョン1
little-cms2	2-2.7	ICCプロファイルをサポートするカラーマネジメントエンジン
lldpd	0.7.17	LLDPの実装ライブラリ
llvm	3.6.2	llvm（低レベル仮想マシン）：次世代コンパイラインフラストラクチャ
lmdb	0.9.14	Lightningメモリマップデータベース：Key-Valueデータストア
lnav	0.7.3	ログファイルを表示および分析するためのCursesベースのツール
lockrun	1.1.3	オーバーラン保護を使用してcronジョブを実行する
log4c	1.2.4	Cのロギングフレームワーク
log4cplus	1.1.2	C++のロギングフレームワーク
log4cpp	1.1.1	C++の構成可能なロギング
log4cxx	0.10.0	柔軟なロギングのためのC++クラスのライブラリ
log4shib	1.0.9	Shibbolethプロジェクト用のlog4cppのフォークバージョン
logcheck	1.3.17	システムログファイルの異常を管理者にメールで送信する
logentries	v1.4.19	logentriesロギングインフラストラクチャにアクセスするためのユーティリティ
logrotate	3.9.1	システムログをローテーション、圧縮、およびメール送信
logstalgia	1.0.6	Webサーバーアクセスログビジュアライザー
logstash	1.5.4	イベントとログを管理するためのツール
logtalk	3.00.4	オブジェクト指向論理プログラミング言語
lolcode	v0.11.2	LOLCODEインタプリタ
lorem	0.6.1	LoremIpsumジェネレーター
loudmouth	1.5.0-20121201	Jabberプロトコル用の軽量Cライブラリ
lout	3.40	TeXのようなテキストフォーマットですが、よりシンプルです
lpc21isp	1.97	いくつかのNXPマイクロコントローラー用のインサーキットプログラミング（ISP）ツール
lrdf	0.5.0	LADSPAプラグインシステムのプラグインメタデータにアクセスするためのRDFライブラリ
lrzip	0.621	非常に高い圧縮率の圧縮プログラム
lrzsz	0.12.20	zmodem/xmodem/ymodemファイル転送用のツール
lsdvd	0.16	DVDのコンテンツ情報を読む
lsh	2.1	Secure Shell（SSH）プロトコルのGNU実装
lsof	4.89	開いているファイルを一覧表示するユーティリティ
lsyncd	2.1.5	ローカルディレクトリをリモートターゲットと同期する
ltc-tools	v0.6.4	リニアタイムコード（LTC）を処理するためのツール
ltl2ba	1.2b1	LTL式をBuchiオートマトンに変換する
lua	5.2.4	強力で軽量なプログラミング言語
lua51	5.1.5	強力で軽量なプログラミング言語（v5.1.5）
luabind	0.9.1	C++とLua間のバインディング用のライブラリ
luajit	2.0.4	Luaプログラミング言語用のJust-In-Timeコンパイラ（JIT）
luciddb	0.9.4	ビジネスインテリジェンス向けに最適化されたDBMS
lutok	0.4	Lua用の軽量C++ API
luvit	0.8.2	Luaの非同期I/O
luyten	0.4.4	Procyon用のJava逆コンパイラGUI
lv	4.51	強力な多言語ファイルビューア/ grep
lv2	1.12.0	オーディオシステム用のポータブルプラグイン標準
lwtools	4.9	Motorola6809およびHitachi6309マイクロプロセッサ用の相互開発ツール
lxsplit	0.2.4	ファイルを分割または結合するためのツール
lynis	2.1.1	システムを強化するためのセキュリティおよびシステム監査ツール
lynx	2.8.8rel.2	テキストベースのWebブラウザ
lysp	1.1	小さなLispインタプリタ
lz4	r131	ロスレス圧縮アルゴリズム
lzip	1.17	gzipまたはbzip2に類似したLZMAベースの圧縮プログラム
lzlib	1.7	データ圧縮ライブラリ
lzo	2.09	リアルタイムデータ圧縮ライブラリ
lzop	1.03	ファイルコンプレッサー
m2c	0.7	Modula-2からCへのコンパイラ
m4	1.4.18	マクロ処理言語
mac-robber	1.02	デジタル調査ツール
mackup	0.8.11	Macのアプリケーション設定の同期を維持する
macvim	7.4-77	OSX用に作成されたvim用のGUI
mad	0.15.1	MPEGオーディオデコーダー
madplay	0.15.2	MPEGオーディオデコーダー
magit	2.2.2	Git用のEmacsインターフェース
mahout	0.11.0	スケーラブルな機械学習ライブラリの構築に役立つライブラリ
mailcheck	1.91.2	メールの複数のメールボックス/ maildirを確認してください
mailutils	2.2	メール処理のスイスアーミーナイフ
mairix	0.23	メールインデックスと検索ツール
make	4.2.1	コンパイルを指示するためのユーティリティ
makedepend	1.0.5	makefileに依存関係を作成します
makefile2graph	v1.5.0	GNU-Makeから依存関係のグラフを作成します
makeicns	1.4.10a	コマンドラインからicnsファイルを作成する
makensis	2.46	Windowsインストーラーを作成するシステム
makepkg	v4.2.1	pacmanでのインストールに適したパッケージをコンパイルしてビルドします
makepp	2.0	GNUmakeのドロップイン置換
makeself	2.2.0	UNIXで自己抽出可能なアーカイブを作成する
mal4s	1.2.8	グルメに基づく悪意のあるホストファインダー
malaga	7.12	自然言語の文法開発環境
malbolge	0.1.0	難解プログラミング言語のプログラミングが意図的に難しい
man2html	3.0.1	nroffのマニュアルページをHTMLに変換する
mandoc	1.13.3	mandocUNIXマンページコンパイラツールセット
mapnik	v3.0.5	マッピングアプリケーションを開発するためのツールキット
mapserver	6.2.2	空間データとインタラクティブマッピングアプリをウェブに公開する
mariadb	10.0.21	MySQLのドロップイン置換
markdown	1.0.1	テキストからHTMLへの変換ツール
marst	2.7	AlgolからCへの翻訳者
masscan	1.0.3	TCPポートスキャナー、5分以内にインターネット全体をスキャンします
matlab2tikz	1.0.0	MATLAB（R）の数値をTikZ/Pgfplotsの数値に変換します
maven	3.3.3	Javaベースのプロジェクト管理
maven-shell	1.1.0	Mavenのシェル
mawk	1.3.4-20141027	AWKプログラミング言語の通訳
mbelib	v1.2.5	P25フェーズ1およびProVoiceボコーダー
mboxgrep	0.7.9	メールボックスをスキャンして、正規表現に一致するメッセージを探します
mcabber	1.0.0	ConsoleJabberクライアント
mcpp	2.7.2	代替のC/C++プリプロセッサ
mcrypt	2.6.8	古いcryptパッケージとcrypt（1）コマンドの置き換え
md	147	cppによって生成された生の依存関係ファイルを処理します
md5deep	4.4	ファイル/ディレクトリのダイジェストを再帰的に計算します
md5sha1sum	0.9.5	ハッシュユーティリティ
mda-lv2	1.2.2	MDAプラグインのLV2ポート
mdbtools	0.7.1	MicrosoftAccessデータベースの使用を容易にするツール
mdf2iso	0.3.1	MDF（アルコール120％画像）画像をISO画像に変換するツール
mdk	1.2.8	GNUMIX開発キット
mdp	1.0.1	コマンドラインベースのマークダウンプレゼンテーションツール
mdr	v1.0.1	差分を読みやすくする
mdxmini	20140608	X68000MDXチップチューン形式で音楽を再生します
mecab	0.996	さらに別の品詞および形態素解析器
mecab-ipadic	2.7.0-20070801	MeCab用にコンパイルされたIPA辞書
mecab-jumandic	5.1-20070304	mecabを参照してください
mecab-ko	0.996-ko-0.9.2	mecabを参照してください
mecab-ko-dic	1.6.1-20140814	mecabを参照してください
mecab-unidic	2.1.2	MeCabのモルフォロジーアナライザー
media-info	0.7.77	オーディオ/ビデオの技術データとタグデータの統合表示
mediatomb	0.12.1	オープンソース（GPL）UPnP MediaServer
megacmd	0.012	mega.co.nzストレージサービスのコマンドラインクライアント
megatools	1.9.95	Mega.co.nzのコマンドラインクライアント
memcache-top	v0.6	memcacheからリアルタイムの統計情報を取得します
memcached	1.4.24	高性能の分散メモリオブジェクトキャッシングシステム
memcacheq	0.2.0	memcacheのキューサービス
memo	1.6	メモを取るソフトウェアとやることソフトウェア
memtester	4.3.0	メモリサブシステムをテストするためのユーティリティ
menhir	20141215	OCamlプログラミング言語用のLR（1）パーサジェネレータ
mercurial	3.5.1	スケーラブルな分散バージョン管理システム
mercury	14.01.1	論理/関数型プログラミング言語
mergelog	4.5	ラウンドロビンDNSの背後にあるWebサーバーからのhttpdログをマージします
mergepbx	v0.9	XCodeプロジェクトファイルをgitにマージする
mesos	0.24.0	Apacheクラスターマネージャー
metaproxy	1.8.8	Yazツールキットを利用したZ39.50プロキシとルーター
metashell	v2.1.0	C++テンプレートのメタプログラミングシェル
mfcuk	0.3.8	MiFareクラシックユニバーサルツールキット
mfoc	0.10.7	Nethembaによる「オフラインネスト」攻撃の実装
mftrace	1.2.18	TeXビットマップフォントをPFA、PFB、またはTTFフォントにトレースします
mg	20131118	小さなEmacsのようなエディター
mgba	0.6.3	ゲームボーイアドバンスエミュレータ
mhash	0.9.9.9	多数のハッシュアルゴリズムへの統一されたインターフェース
midgard2	12.09	Webおよびデスクトップアプリケーション用の汎用コンテンツリポジトリ
midicsv	1.1	MIDIオーディオファイルを人間が読めるCSV形式に変換する
midnight-commander	4.8.14	ターミナルベースのビジュアルファイルマネージャー
mighttpd2	3.2.7	HTTPサーバー
mikmod	3.2.6	ポータブルトラックミュージックプレーヤー
miller	2.2.1	CSVなどの名前インデックス付きデータのsed、awk、cut、join、sortなど
mimms	3.2.1	Mmsストリームダウンローダー
minbif	1.0.5	Pidginライブラリを使用したIRC-to-other-IM-networksゲートウェイ
minicom	2.7	メニュー方式のコミュニケーションプログラム
minidjvu	0.8	DjVuマルチページエンコーダー、シングルページエンコーダー/デコーダー
minidlna	1.1.5	DLNA/UPnP-AVクライアントに準拠したメディアサーバーソフトウェア
minimodem	0.22.1	汎用ソフトウェアオーディオFSKモデム
minisat	2.2.0	ブール充足可能性（SAT）問題ソルバー
minised	1.15	より小さく、より安く、より高速なSEDの実装
minisign	0.4	ファイルに署名し、署名を確認します。OpenBSDのsignifyで動作します。
miniupnpc	2.0.20170509	UpnPIGDクライアントライブラリとデーモン
minizinc	2.0.6	中レベルの制約モデリング言語
minizip	1.2.8	zLibを介したzip/unzip用のCライブラリ
minuit2	2-5.34.14	関数最小化のための物理分析ツール
miredo	1.2.6	NATを介したTeredoIPv6トンネリング
miruo	0.9.6a	プリティプリントTCPセッションモニター/アナライザー
mitie	v0.4	情報抽出のためのライブラリとツール
mitmproxy	0.13	HTTP/Sトラフィックの傍受、変更、再生、保存
mjpegtools	2.1.0	ビデオを録画および再生し、簡単な編集を実行します
mkclean	0.8.7	MatroskaおよびWebMファイルを最適化します
mkcue	1	CDからCUEシートを生成する
mksh	R50F	MirBSD Korn Shell
mktorrent	1.0	BitTorrentメタ情報ファイルを作成する
mkvalidator	0.5.0	MatroskaおよびWebMファイルの仕様適合性を検証するためのツール
mkvdts2ac3	1.6.0	matroskaファイル内でDTSオーディオをAC3に変換します
mkvtomp4	v1.3	mkvファイルをmp4に変換します
mkvtoolnix	8.3.0	Matroskaメディアファイル操作ツール
mldonkey	3.1.5	eDonkeyP2Pネットワーク用のOCaml/GTKクライアント
mlogger	v1.1.2	コマンドラインからsyslogにログインします
mlt	0.9.6	マルチトラックオーディオ/ビデオコンポジションの作成、管理、および実行
mm-common	0.9.8	GTK+およびGNOME用のC++インターフェース
mmix	20131017	DonaldKnuthによって設計された64ビットRISCアーキテクチャ
mmsrip	0.7.0	MMS：//プロトコルのクライアント
mmv	1.01b	複数のファイルを移動、コピー、追加、およびリンクする
mobile-shell	1.2.5	リモート端末アプリケーション
mobiledevice	v2.0.0	Appleのプライベート（クローズド）モバイルデバイスフレームワークのCLI
moc	2.5.0	ターミナルベースの音楽プレーヤー
mockserver	3.9.17	HTTPサーバーとプロキシのモック
moco	0.10.1	Maven、Gradle、Scala、およびシェル統合を備えたスタブサーバー
modgit	v1.0.1	フィルタを使用したgitリポジトリデプロイ用のツール。Magentoの開発に使用されます。
modman	1.12	Magento開発向けのモジュール展開スクリプト
modules	3.2.10	モジュールファイルを介したユーザーの環境の動的な変更
moe	1.7	ISO-8859およびASCII用のコンソールテキストエディタ
mogenerator	1.29	CoreDataカスタムクラスのObjective-Cコードを生成する
mon	1.2.3	ホスト/サービス/その他を監視し、問題について警告します
monetdb	11.21.5	列ストアデータベース
mongo-c	1.1.6	MongoDBの公式Cドライバー
mongodb	r3.0.6	高性能でスキーマフリーのドキュメント指向データベース
mongoose	5.6	Libmongoose組み込みライブラリ上に構築されたWebサーバー
mongrel2	v1.9.3	アプリケーション、言語、およびネットワークアーキテクチャに依存しないWebサーバー
mongroup	0.4.1	月でプロセスのグループを監視する
monit	5.14	プロセス、ファイル、ディレクトリ、およびデバイスを管理および監視します
monkeysphere	0.36	OpenPGP Web ofTrustを使用してssh接続を確認します
mono	4.2.0.179	クロスプラットフォーム、オープンソースの.NET開発フレームワーク
monotone	1.1	分散バージョン管理システム（DVCS）
montage	v3.3	FITS画像をカスタムモザイクに組み立てるためのツールキット
moreutils	0.57	UNIXの若い頃に誰も書いていなかったツールのコレクション
mosml	2.10.1	モスクワML
mosquitto	1.4.2	MQテレメトリトランスポートプロトコルを実装するメッセージブローカー
most	5.0.0a	強力なページングプログラム
movgrab	1.2.1	YouTube、Dailymotion、その他のビデオWebサイトのダウンローダー
mozilla-addon-sdk	1.17	JS、HTML、およびCSSを使用してFirefoxアドオンを作成する
mozjpeg	3.1	改善されたJPEGエンコーダ
mp3blaster	3.2.5	テキストベースのmp3プレーヤー
mp3cat	0.4	mp3ファイルの読み取りと書き込み
mp3check	0.8.7	整合性についてmp3ファイルをチェックするツール
mp3gain	1.5.2	統計分析によるロスレスmp3ノーマライザー
mp3info	0.8.5a	MP3技術情報ビューアおよびID31.xタグエディタ
mp3splt	2.6.2	MP3ファイルとOggVorbisファイルを分割するためのコマンドラインインターフェイス
mp3val	0.1.8	MPEGオーディオストリーム検証用プログラム
mp3wrap	0.5	2つ以上のmp3ファイルを1つの大きなファイルにラップする
mp4v2	2.0.0	MP4ファイルの読み取り、作成、および変更
mpack	1.6	MIMEメールのパッキングとアンパック
mpc	0.27	mpd用のコマンドライン音楽プレーヤークライアント
mpck	0.19	MP3ファイルにエラーがないか確認してください
mpd	0.19.10	ミュージックプレーヤーデーモン
mpdas	0.3.1	トラックをaudioscrobblerに送信するC++クライアント
mpdscribble	0.22	mpdのLast.fmレポートクライアント
mpdviz	0.4.6	スタンドアロンコンソールMPDビジュアライザー
mpegdemux	0.1.4	MPEG1/2システムストリームデマルチプレクサ
mpfi	1.5.1	多倍長区間演算ライブラリ
mpfr	3.1.6	多倍長浮動小数点計算用のCライブラリ
mpfr2	2.4.2	多倍長浮動小数点計算Clib
mpg123	1.22.4	LinuxおよびUNIX用のMP3プレーヤー
mpg321	0.3.2	コマンドラインMP3プレーヤー
mpgtx	1.3.1	MPEGファイルを操作するためのツールボックス
mpich	3.1.4	MPIメッセージパッシングインターフェイス標準の実装
mplayer	1.2	UNIXムービープレーヤー
mplayershell	0.9.3	OSXでのMPlayerのビジュアルエクスペリエンスの向上
mpop	1.2.0	POP3クライアント
mpssh	1.3.3	マスパラレルssh
mpw	2.1-cli4	端末のマスターパスワード
mr	1.20150503	複数リポジトリ管理ツール
mrtg	2.17.4	マルチルータートラフィックグラファー
mruby	1.1.0	Ruby言語の軽量実装
msdl	1.2.7r2	さまざまなストリーミングプロトコルのダウンローダー
msgpack	1.2.0	バイナリベースの効率的なデータ交換フォーマット用のライブラリ
msitools	0.94	Windowsインストーラー（.MSI）ツール
msktutil	0.5.1	ActiveDirectoryとの相互運用性のためのプログラム
msmtp	1.6.2	MuttのSMTPプラグインとして使用できるSMTPクライアント
mspdebug	0.22	MSP430MCUで使用するデバッガー
mtools	4.0.17	MSDOSファイルを操作するためのツール
mtr	0.86	単一のツールでの「traceroute」と「ping」
mu	v0.9.13	maildir形式で保存された電子メールメッセージを検索するためのツール
multimarkdown	4.7.1	マークアップされたプレーンテキストを適切な形式のドキュメントに変換する
multirust	0.0.6	複数のRustインストールを管理する
multitail	6.4.1	1つの端末で同時に複数のファイルをテールする
muparser	2.2.4	C++数式パーサーライブラリ
mupdf-tools	1.7a	軽量PDFおよびXPSビューアー
musepack	r475	オーディオ圧縮フォーマットとツール
mussh	1.0	マルチホストSSHラッパー
mutt	1.5.24	メールユーザーエージェントの雑種（part elm、pine、mush、mhなど）
muttils	1.3	コンソールメールクライアントで使用するユーティリティを提供します。Mutt。
mvnvm	1.0.7	Mavenバージョンマネージャー
mvptree	1.0	知覚ハッシュライブラリ
mycli	1.4.0	オートコンプリートと構文の強調表示を備えたMySQLのCLI
mypy	v0.2.0	Python用の実験的なオプションの静的型チェッカー
mysql	5.6.35	オープンソースのリレーショナルデータベース管理システム
mysql++	3.2.1	MySQLのCAPIのC++ラッパー
mysql-cluster	7.3.8	MySQLのシェアードナッシングクラスタリングと自動シャーディング
mysql-connector-c	6.1.6	Cアプリケーション用のMySQLデータベースコネクタ
mysql-connector-c++	1.1.6	C++アプリケーション用のMySQLデータベースコネクタ
mysql-connector-odbc	5.3.4	標準化されたデータベースドライバー
mysql-proxy	0.8.5	MySQLサーバーのプロキシ
mysql-sandbox	3.0.50	1つ以上のMySQLサーバーをインストールします
mysql-search-replace	3.0.0	PHPでのデータベース検索および置換スクリプト
mysqltuner	v1.4.0	MySQLインストールのパフォーマンスと安定性を向上させる
mytop	1.9.1	MySQL用のトップのようなクエリモニター
n	2.0.2	ノードバージョン管理
nacl	20110221	ネットワーク通信、暗号化、復号化、署名ライブラリ
nagios	4.0.6	ネットワーク監視および管理システム
nagios-plugins	2.0.3	nagiosネットワーク監視システム用のプラグイン
nailgun	0.9.1	Javaプログラム用のコマンドラインクライアント、プロトコル、およびサーバー
namazu	2.0.21	全文検索エンジン
namebench	1.3.1	DNSベンチマークユーティリティ
nanomsg	0.6	Cのソケットライブラリ
nanopb-generator	0.3.4	プロトコルバッファメッセージをエンコードおよびデコードするためのANSICライブラリ
nant	0.92	.NETビルドツール
narwhal	v0.3.2	アプリケーションを構築するための汎用JavaScriptプラットフォーム
nasm	2.11.08	Netwide Assembler（NASM）は80x86アセンブラーです
natalie	0.3	ストーリーボードコードジェネレーター（Swift用）
naturaldocs	1.52	拡張可能な多言語ドキュメントジェネレータ
nave	v0.5.1	Node.jsの仮想環境
nbimg	v1.2.1	AndroidおよびwinCE用のスマートフォンブートスプラッシュスクリーンコンバーター
ncdc	1.19.1	NCurses直接接続
ncdu	1.11	Ncursesのディスク使用量
ncftp	3.2.5	高度なユーザーインターフェイスを備えたFTPクライアント
ncmpc	0.24	Curses Music Player Daemon（MPD）クライアント
ncmpcpp	0.6.7	Music PlayerDaemon用のNcursesベースのクライアント
ncp	1.2.4	LAN用のファイルコピーツール
ncrack	0.4	ネットワーク認証クラッキングツール
ncurses	6.0	テキストベースのUIライブラリ
ndiff	2.00	nmapが提供する仮想パッケージ
ndpi	1.7	ディープパケットインスペクション（DPI）ライブラリ
negfix8	8.3	スキャンしたネガ画像をポジに変える
neko	2.0.0-22c49a8	高レベルの動的型付けプログラミング言語
neo4j	2.2.5	堅牢な（完全にACID）トランザクションプロパティグラフデータベース
neon	0.30.1	Cインターフェイスを備えたHTTPおよびWebDAVクライアントライブラリ
nesc	1.3.4	深くネットワーク化されたシステムのためのプログラミング言語
net-snmp	5.7.3	IPv4およびIPv6を使用して、SNMP v1、v2c、およびv3を実装します
net6	1.3.14	ネットワークベースのアプリケーション用のC++ライブラリ
netcat	0.7.1	ネットワーク接続を管理するためのユーティリティ
netcat6	1.0	IPv6をサポートするnetcatの書き直し、およびその他の改善
netpbm	10.68	画像操作
netperf	2.7.0	さまざまなタイプのネットワーキングのベンチマークパフォーマンス
nettle	2.7.1	低レベルの暗号化ライブラリ
